LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,TotalValue
FRA,PHARMAEXP,TOT,USD_CAP,A,2001,460.6448,,14109.7805464
FRA,PHARMAEXP,TOT,USD_CAP,A,2002,490.2957,,15129.9908797
FRA,PHARMAEXP,TOT,USD_CAP,A,2003,496.6592,B,15436.9824571
FRA,PHARMAEXP,TOT,USD_CAP,A,2004,519.5584,,16271.2182362
FRA,PHARMAEXP,TOT,USD_CAP,A,2005,544.7856,,17195.9449976
FRA,PHARMAEXP,TOT,USD_CAP,A,2006,564.0548,B,17926.5019857
FRA,PHARMAEXP,TOT,USD_CAP,A,2007,588.7036,,18817.257113
FRA,PHARMAEXP,TOT,USD_CAP,A,2008,606.1469,,19478.045714
FRA,PHARMAEXP,TOT,USD_CAP,A,2009,626.4473,,20229.7248405
FRA,PHARMAEXP,TOT,USD_CAP,A,2010,631.1949,,20477.2249458
FRA,PHARMAEXP,TOT,USD_CAP,A,2011,642.8576,,20955.0749014
FRA,PHARMAEXP,TOT,USD_CAP,A,2012,630.9337,,20659.5833023
FRA,PHARMAEXP,TOT,USD_CAP,A,2013,643.0049,,21140.817983
FRA,PHARMAEXP,TOT,USD_CAP,A,2014,655.8638,,42016.1107216
DEU,PHARMAEXP,TOT,USD_CAP,A,1970,43.8916,,1395.0506144
DEU,PHARMAEXP,TOT,USD_CAP,A,1971,49.0243,,1570.6405234
DEU,PHARMAEXP,TOT,USD_CAP,A,1972,54.4805,,1754.490022
DEU,PHARMAEXP,TOT,USD_CAP,A,1973,60.6084,,1959.469572
DEU,PHARMAEXP,TOT,USD_CAP,A,1974,69.7484,,2258.801934
DEU,PHARMAEXP,TOT,USD_CAP,A,1975,79.622,,2574.17926
DEU,PHARMAEXP,TOT,USD_CAP,A,1976,88.1705,,2840.4126575
DEU,PHARMAEXP,TOT,USD_CAP,A,1977,93.6069,,3010.1170833
DEU,PHARMAEXP,TOT,USD_CAP,A,1978,105.0589,,3374.0716324
DEU,PHARMAEXP,TOT,USD_CAP,A,1979,115.5753,,3710.6605818
DEU,PHARMAEXP,TOT,USD_CAP,A,1980,130.7716,,4204.1761684
DEU,PHARMAEXP,TOT,USD_CAP,A,1981,149.6282,,4815.1851042
DEU,PHARMAEXP,TOT,USD_CAP,A,1982,155.3445,,4995.257742
DEU,PHARMAEXP,TOT,USD_CAP,A,1983,166.9854,,5353.2179532
DEU,PHARMAEXP,TOT,USD_CAP,A,1984,181.8065,,5805.808771
DEU,PHARMAEXP,TOT,USD_CAP,A,1985,196.2248,,6248.3863064
DEU,PHARMAEXP,TOT,USD_CAP,A,1986,202.8493,,6457.3017669
DEU,PHARMAEXP,TOT,USD_CAP,A,1987,216.664,,6879.948656
DEU,PHARMAEXP,TOT,USD_CAP,A,1988,237.0741,,7564.0862346
DEU,PHARMAEXP,TOT,USD_CAP,A,1989,238.4533,,7671.5195676
DEU,PHARMAEXP,TOT,USD_CAP,A,1990,253.214,,8272.754594
DEU,PHARMAEXP,TOT,USD_CAP,A,1992,294.6127,B,12238.5061707
DEU,PHARMAEXP,TOT,USD_CAP,A,1993,264.2139,,11034.6293196
DEU,PHARMAEXP,TOT,USD_CAP,A,1994,274.7933,,11504.4962978
DEU,PHARMAEXP,TOT,USD_CAP,A,1995,288.4146,,12096.9735678
DEU,PHARMAEXP,TOT,USD_CAP,A,1996,310.6675,,13054.5590175
DEU,PHARMAEXP,TOT,USD_CAP,A,1997,314.4865,,13230.447055
DEU,PHARMAEXP,TOT,USD_CAP,A,1998,335.3538,,14100.9565824
DEU,PHARMAEXP,TOT,USD_CAP,A,1999,351.1519,,14754.7005342
DEU,PHARMAEXP,TOT,USD_CAP,A,2000,367.3447,,15457.864976
DEU,PHARMAEXP,TOT,USD_CAP,A,2001,400.5791,,16870.7893756
DEU,PHARMAEXP,TOT,USD_CAP,A,2002,427.4607,,18027.7275618
DEU,PHARMAEXP,TOT,USD_CAP,A,2003,452.1915,,19069.819938
DEU,PHARMAEXP,TOT,USD_CAP,A,2004,443.9407,,18716.9838527
DEU,PHARMAEXP,TOT,USD_CAP,A,2005,508.8635,,21436.8926645
DEU,PHARMAEXP,TOT,USD_CAP,A,2006,526.5335,,22147.052077
DEU,PHARMAEXP,TOT,USD_CAP,A,2007,562.533,,23618.510538
DEU,PHARMAEXP,TOT,USD_CAP,A,2008,600.2274,,25151.9289696
DEU,PHARMAEXP,TOT,USD_CAP,A,2009,630.2438,,26324.6532822
DEU,PHARMAEXP,TOT,USD_CAP,A,2010,654.6815,,27272.0672455
DEU,PHARMAEXP,TOT,USD_CAP,A,2011,645.5802,,26520.434616
DEU,PHARMAEXP,TOT,USD_CAP,A,2012,665.1294,,27342.8045046
DEU,PHARMAEXP,TOT,USD_CAP,A,2013,693.4148,,28538.8729236
